StartOfMonth,Season,State,Average State Income,Contact Method,Age Group,Gender,Scam Category,Scam Type,Amount_lost,Number_of_reports
1/5/2024,Autumn,Victoria,1882,Text message,65 and over,Female,Investment,Investment,$250000.00,1
1/6/2024,Winter,Queensland,1901,Text message,35 - 44,Female,Investment,Investment,$210000.00,1
1/6/2024,Winter,New South Wales,1935.7,Text message,25 - 34,Female,Investment,Investment,$50000.00,1
1/6/2024,Winter,Victoria,1882,Text message,45 - 54,Female,Investment,Investment,$44000.00,1
1/7/2024,Winter,Queensland,1901,Text message,65 and over,Female,Investment,Investment,$2500.00,1
1/7/2024,Winter,Queensland,1901,Text message,45 - 54,Female,Investment,Investment,$10200.00,1
1/1/2024,Summer,New South Wales,1935.7,In person,35 - 44,Female,Investment,Investment,$10800.00,1
1/1/2024,Summer,Queensland,1901,In person,35 - 44,Female,Investment,Investment,$19000.00,1
1/2/2024,Summer,Western Australia,2094.3,In person,35 - 44,Female,Investment,Investment,$46000.00,1
1/2/2024,Summer,Queensland,1901,In person,55 - 64,Female,Investment,Investment,$12500.00,1
1/3/2024,Autumn,Western Australia,2094.3,In person,35 - 44,Female,Investment,Investment,$60000.00,1
1/3/2024,Autumn,New South Wales,1935.7,In person,45 - 54,Female,Investment,Investment,$25100.00,1
1/6/2024,Winter,Tasmania,1710.8,In person,35 - 44,Female,Investment,Investment,$376.00,1
1/7/2024,Winter,South Australia,1776.9,In person,65 and over,Female,Investment,Investment,$91660.00,1
1/7/2024,Winter,Western Australia,2094.3,In person,55 - 64,Female,Investment,Investment,$234500.00,1
1/7/2024,Winter,Victoria,1882,In person,25 - 34,Female,Investment,Investment,$20000.00,1
1/1/2024,Summer,South Australia,1776.9,Email,25 - 34,Female,Investment,Investment,$300.00,1
1/1/2024,Summer,Western Australia,2094.3,Email,55 - 64,Female,Investment,Investment,$3996.00,1
1/4/2024,Autumn,Northern Territory,1845.8,Email,65 and over,Female,Investment,Investment,$370.00,1
1/6/2024,Winter,South Australia,1776.9,Email,25 - 34,Female,Investment,Investment,$311.00,1
1/6/2024,Winter,South Australia,1776.9,Email,35 - 44,Female,Investment,Investment,$363.00,1
1/7/2024,Winter,Western Australia,2094.3,Email,35 - 44,Female,Investment,Investment,$800.00,1
1/7/2024,Winter,Northern Territory,1845.8,Email,55 - 64,Female,Investment,Investment,$15000.00,1
1/2/2024,Summer,Victoria,1882,Email,35 - 44,Female,Investment,Investment,$258.00,1
1/3/2024,Autumn,Victoria,1882,Email,35 - 44,Female,Investment,Investment,$385.00,1
1/4/2024,Autumn,Victoria,1882,Email,45 - 54,Female,Investment,Investment,$150000.00,1
1/1/2024,Summer,Queensland,1901,Email,65 and over,Female,Investment,Investment,$3358.89,1
1/3/2024,Autumn,Queensland,1901,Email,45 - 54,Female,Investment,Investment,$175000.00,1
1/3/2024,Autumn,Queensland,1901,Email,35 - 44,Female,Investment,Investment,$25000.00,1
1/5/2024,Autumn,Queensland,1901,Email,45 - 54,Female,Investment,Investment,$45000.00,1
1/7/2024,Winter,Queensland,1901,Email,25 - 34,Female,Investment,Investment,$445.00,1
1/2/2024,Summer,New South Wales,1935.7,Email,35 - 44,Female,Investment,Investment,$170000.00,1
1/3/2024,Autumn,New South Wales,1935.7,Email,55 - 64,Female,Investment,Investment,$3.00,1
1/3/2024,Autumn,New South Wales,1935.7,Email,65 and over,Female,Investment,Investment,$2000.00,1
1/4/2024,Autumn,New South Wales,1935.7,Email,65 and over,Female,Investment,Investment,$1000.00,3
1/1/2024,Summer,Queensland,1901,Mobile apps,35 - 44,Female,Investment,Investment,$89900.00,1
1/1/2024,Summer,Queensland,1901,Mobile apps,25 - 34,Female,Investment,Investment,$30000.00,2
1/1/2024,Summer,Queensland,1901,Mobile apps,45 - 54,Female,Investment,Investment,$75000.00,1
1/2/2024,Summer,Queensland,1901,Mobile apps,55 - 64,Female,Investment,Investment,$2100.12,1
1/4/2024,Autumn,Queensland,1901,Mobile apps,25 - 34,Female,Investment,Investment,$15000.00,1
1/4/2024,Autumn,Queensland,1901,Mobile apps,65 and over,Female,Investment,Investment,$4000.00,1
1/5/2024,Autumn,Queensland,1901,Mobile apps,45 - 54,Female,Investment,Investment,$306100.00,2
1/5/2024,Autumn,Queensland,1901,Mobile apps,35 - 44,Female,Investment,Investment,$57450.00,2
1/7/2024,Winter,Queensland,1901,Mobile apps,45 - 54,Female,Investment,Investment,$31050.65,2
1/7/2024,Winter,Queensland,1901,Mobile apps,25 - 34,Female,Investment,Investment,$6000.00,1
1/3/2024,Autumn,Western Australia,2094.3,Mobile apps,25 - 34,Female,Investment,Investment,$81755.00,1
1/5/2024,Autumn,Western Australia,2094.3,Mobile apps,25 - 34,Female,Investment,Investment,$21731.00,1
1/6/2024,Winter,Western Australia,2094.3,Mobile apps,65 and over,Female,Investment,Investment,$20000.00,1
1/6/2024,Winter,Western Australia,2094.3,Mobile apps,25 - 34,Female,Investment,Investment,$14600.00,1
1/2/2024,Summer,Victoria,1882,Mobile apps,65 and over,Female,Investment,Investment,$79359.00,1
1/4/2024,Autumn,Victoria,1882,Mobile apps,45 - 54,Female,Investment,Investment,$250.00,1
1/6/2024,Winter,Victoria,1882,Mobile apps,55 - 64,Female,Investment,Investment,$1200.00,1
1/1/2024,Summer,Victoria,1882,Mobile apps,35 - 44,Female,Investment,Investment,$70350.00,1
1/3/2024,Autumn,Victoria,1882,Mobile apps,35 - 44,Female,Investment,Investment,$130000.00,1
1/7/2024,Winter,Victoria,1882,Mobile apps,35 - 44,Female,Investment,Investment,$26613.66,3
1/7/2024,Winter,Victoria,1882,Mobile apps,25 - 34,Female,Investment,Investment,$394.16,1
1/1/2024,Summer,New South Wales,1935.7,Mobile apps,35 - 44,Female,Investment,Investment,$93000.00,2
1/2/2024,Summer,New South Wales,1935.7,Mobile apps,35 - 44,Female,Investment,Investment,$41500.00,2
1/3/2024,Autumn,New South Wales,1935.7,Mobile apps,35 - 44,Female,Investment,Investment,$5000.00,1
1/3/2024,Autumn,New South Wales,1935.7,Mobile apps,65 and over,Female,Investment,Investment,$8500.00,1
1/4/2024,Autumn,New South Wales,1935.7,Mobile apps,55 - 64,Female,Investment,Investment,$706840.00,1
1/5/2024,Autumn,New South Wales,1935.7,Mobile apps,45 - 54,Female,Investment,Investment,$5400.00,1
1/7/2024,Winter,New South Wales,1935.7,Mobile apps,18 - 24,Female,Investment,Investment,$600.00,1
1/7/2024,Winter,New South Wales,1935.7,Mobile apps,55 - 64,Female,Investment,Investment,$3800.00,1
1/6/2024,Winter,New South Wales,1935.7,Mobile apps,25 - 34,Female,Investment,Investment,$12000.00,1
1/7/2024,Winter,New South Wales,1935.7,Mobile apps,25 - 34,Female,Investment,Investment,$6245.00,1
1/1/2024,Summer,Victoria,1882,Internet,35 - 44,Female,Investment,Investment,$430.00,1
1/2/2024,Summer,Victoria,1882,Internet,65 and over,Female,Investment,Investment,$380.00,1
1/2/2024,Summer,Victoria,1882,Internet,55 - 64,Female,Investment,Investment,$31300.00,1
1/3/2024,Autumn,Victoria,1882,Internet,35 - 44,Female,Investment,Investment,$13.00,1
1/4/2024,Autumn,Victoria,1882,Internet,65 and over,Female,Investment,Investment,$60000.00,1
1/5/2024,Autumn,Victoria,1882,Internet,65 and over,Female,Investment,Investment,$79610.00,1
1/6/2024,Winter,Victoria,1882,Internet,35 - 44,Female,Investment,Investment,$32500.00,1
1/6/2024,Winter,Victoria,1882,Internet,25 - 34,Female,Investment,Investment,$9000.00,1
1/7/2024,Winter,Victoria,1882,Internet,25 - 34,Female,Investment,Investment,$78000.00,1
1/2/2024,Summer,Queensland,1901,Internet,35 - 44,Female,Investment,Investment,$71522.00,1
1/3/2024,Autumn,Queensland,1901,Internet,55 - 64,Female,Investment,Investment,$999.00,1
1/6/2024,Winter,Queensland,1901,Internet,25 - 34,Female,Investment,Investment,$302.39,1
1/6/2024,Winter,Queensland,1901,Internet,55 - 64,Female,Investment,Investment,$3798.80,1
1/3/2024,Autumn,Western Australia,2094.3,Internet,45 - 54,Female,Investment,Investment,$280.00,1
1/3/2024,Autumn,Western Australia,2094.3,Internet,35 - 44,Female,Investment,Investment,$920.00,1
1/2/2024,Summer,Australian Capital Territory,2126.5,Internet,55 - 64,Female,Investment,Investment,$1600000.00,1
1/5/2024,Autumn,South Australia,1776.9,Internet,25 - 34,Female,Investment,Investment,$10000.00,1
1/6/2024,Winter,Australian Capital Territory,2126.5,Internet,18 - 24,Female,Investment,Investment,$400.00,1
1/7/2024,Winter,Tasmania,1710.8,Internet,35 - 44,Female,Investment,Investment,$1150.00,1
1/7/2024,Winter,Northern Territory,1845.8,Internet,65 and over,Female,Investment,Investment,$57037.46,1
1/1/2024,Summer,New South Wales,1935.7,Internet,35 - 44,Female,Investment,Investment,$335.00,1
1/3/2024,Autumn,New South Wales,1935.7,Internet,55 - 64,Female,Investment,Investment,$1000.00,1
1/3/2024,Autumn,New South Wales,1935.7,Internet,35 - 44,Female,Investment,Investment,$28500.00,1
1/4/2024,Autumn,New South Wales,1935.7,Internet,65 and over,Female,Investment,Investment,$6307.14,2
1/6/2024,Winter,New South Wales,1935.7,Internet,45 - 54,Female,Investment,Investment,$400.00,1
1/7/2024,Winter,New South Wales,1935.7,Internet,25 - 34,Female,Investment,Investment,$4100.00,1
1/3/2024,Autumn,Victoria,1882,Phone call,35 - 44,Female,Investment,Investment,$4971.52,1
1/4/2024,Autumn,Victoria,1882,Phone call,25 - 34,Female,Investment,Investment,$16298.00,2
1/4/2024,Autumn,Victoria,1882,Phone call,35 - 44,Female,Investment,Investment,$150000.00,1
1/5/2024,Autumn,Victoria,1882,Phone call,35 - 44,Female,Investment,Investment,$120000.00,1
1/7/2024,Winter,Victoria,1882,Phone call,65 and over,Female,Investment,Investment,$270000.00,1
1/1/2024,Summer,Victoria,1882,Phone call,55 - 64,Female,Investment,Investment,$9000.00,1
1/2/2024,Summer,Victoria,1882,Phone call,45 - 54,Female,Investment,Investment,$383.27,1
1/6/2024,Winter,Victoria,1882,Phone call,45 - 54,Female,Investment,Investment,$91000.00,2
1/7/2024,Winter,Victoria,1882,Phone call,45 - 54,Female,Investment,Investment,$2275.12,1
1/1/2024,Summer,Western Australia,2094.3,Phone call,45 - 54,Female,Investment,Investment,$14815.00,1
1/1/2024,Summer,Western Australia,2094.3,Phone call,55 - 64,Female,Investment,Investment,$6883.00,1
1/3/2024,Autumn,Western Australia,2094.3,Phone call,55 - 64,Female,Investment,Investment,$4300.00,1
1/5/2024,Autumn,Western Australia,2094.3,Phone call,65 and over,Female,Investment,Investment,$420000.00,2
1/5/2024,Autumn,Western Australia,2094.3,Phone call,45 - 54,Female,Investment,Investment,$16000.00,1
1/7/2024,Winter,Western Australia,2094.3,Phone call,65 and over,Female,Investment,Investment,$72838.00,2
1/2/2024,Summer,South Australia,1776.9,Phone call,65 and over,Female,Investment,Investment,$450000.00,1
1/6/2024,Winter,South Australia,1776.9,Phone call,18 - 24,Female,Investment,Investment,$380.00,1
1/6/2024,Winter,South Australia,1776.9,Phone call,55 - 64,Female,Investment,Investment,$90000.00,1
1/1/2024,Summer,Northern Territory,1845.8,Phone call,45 - 54,Female,Investment,Investment,$260000.00,1
1/3/2024,Autumn,Tasmania,1710.8,Phone call,55 - 64,Female,Investment,Investment,$2250.00,1
1/5/2024,Autumn,Tasmania,1710.8,Phone call,65 and over,Female,Investment,Investment,$400.00,1
1/6/2024,Winter,Tasmania,1710.8,Phone call,45 - 54,Female,Investment,Investment,$300.00,1
1/3/2024,Autumn,Queensland,1901,Phone call,25 - 34,Female,Investment,Investment,$20000.00,1
1/4/2024,Autumn,Queensland,1901,Phone call,55 - 64,Female,Investment,Investment,$33250.00,3
1/5/2024,Autumn,Queensland,1901,Phone call,55 - 64,Female,Investment,Investment,$250.00,1
1/5/2024,Autumn,Queensland,1901,Phone call,65 and over,Female,Investment,Investment,$50144.98,3
1/6/2024,Winter,Queensland,1901,Phone call,45 - 54,Female,Investment,Investment,$3766.50,1
1/1/2024,Summer,New South Wales,1935.7,Phone call,65 and over,Female,Investment,Investment,$6306.00,2
1/3/2024,Autumn,New South Wales,1935.7,Phone call,65 and over,Female,Investment,Investment,$6386250.00,3
1/1/2024,Summer,New South Wales,1935.7,Phone call,35 - 44,Female,Investment,Investment,$500.00,2
1/2/2024,Summer,New South Wales,1935.7,Phone call,35 - 44,Female,Investment,Investment,$450000.00,2
1/4/2024,Autumn,New South Wales,1935.7,Phone call,35 - 44,Female,Investment,Investment,$4950.00,2
1/5/2024,Autumn,New South Wales,1935.7,Phone call,35 - 44,Female,Investment,Investment,$257000.00,3
1/6/2024,Winter,New South Wales,1935.7,Phone call,35 - 44,Female,Investment,Investment,$3750.00,3
1/6/2024,Winter,New South Wales,1935.7,Phone call,25 - 34,Female,Investment,Investment,$380.00,3
1/7/2024,Winter,New South Wales,1935.7,Phone call,18 - 24,Female,Investment,Investment,$373.00,1
1/1/2024,Summer,Victoria,1882,Social media/Online forums,35 - 44,Female,Investment,Investment,$31850.00,2
1/4/2024,Autumn,Victoria,1882,Social media/Online forums,35 - 44,Female,Investment,Investment,$4680.00,1
1/5/2024,Autumn,Victoria,1882,Social media/Online forums,35 - 44,Female,Investment,Investment,$1400.00,1
1/7/2024,Winter,Victoria,1882,Social media/Online forums,35 - 44,Female,Investment,Investment,$19599.00,4
1/3/2024,Autumn,Victoria,1882,Social media/Online forums,65 and over,Female,Investment,Investment,$307.73,1
1/3/2024,Autumn,Victoria,1882,Social media/Online forums,55 - 64,Female,Investment,Investment,$315.00,1
1/5/2024,Autumn,Victoria,1882,Social media/Online forums,18 - 24,Female,Investment,Investment,$917.50,1
1/6/2024,Winter,Victoria,1882,Social media/Online forums,Under 18,Female,Investment,Investment,$594.00,1
1/7/2024,Winter,Victoria,1882,Social media/Online forums,65 and over,Female,Investment,Investment,$302231.27,3
1/3/2024,Autumn,Victoria,1882,Social media/Online forums,25 - 34,Female,Investment,Investment,$133000.00,1
1/6/2024,Winter,Victoria,1882,Social media/Online forums,25 - 34,Female,Investment,Investment,$2500.00,1
1/1/2024,Summer,Queensland,1901,Social media/Online forums,25 - 34,Female,Investment,Investment,$9165.00,2
1/3/2024,Autumn,Queensland,1901,Social media/Online forums,25 - 34,Female,Investment,Investment,$35000.00,1
1/6/2024,Winter,Queensland,1901,Social media/Online forums,25 - 34,Female,Investment,Investment,$6854.40,2
1/7/2024,Winter,Queensland,1901,Social media/Online forums,25 - 34,Female,Investment,Investment,$8361.90,2
1/1/2024,Summer,Queensland,1901,Social media/Online forums,55 - 64,Female,Investment,Investment,$21726.00,1
1/2/2024,Summer,Queensland,1901,Social media/Online forums,35 - 44,Female,Investment,Investment,$100000.00,1
1/3/2024,Autumn,Queensland,1901,Social media/Online forums,35 - 44,Female,Investment,Investment,$7500.00,2
1/3/2024,Autumn,Queensland,1901,Social media/Online forums,65 and over,Female,Investment,Investment,$15780.00,1
1/3/2024,Autumn,Queensland,1901,Social media/Online forums,18 - 24,Female,Investment,Investment,$20000.00,1
1/3/2024,Autumn,Queensland,1901,Social media/Online forums,45 - 54,Female,Investment,Investment,$10000.00,1
1/4/2024,Autumn,Queensland,1901,Social media/Online forums,18 - 24,Female,Investment,Investment,$2200.00,2
1/4/2024,Autumn,Queensland,1901,Social media/Online forums,55 - 64,Female,Investment,Investment,$384.91,1
1/5/2024,Autumn,Queensland,1901,Social media/Online forums,45 - 54,Female,Investment,Investment,$100.00,1
1/6/2024,Winter,Queensland,1901,Social media/Online forums,35 - 44,Female,Investment,Investment,$49994.00,3
1/7/2024,Winter,Queensland,1901,Social media/Online forums,55 - 64,Female,Investment,Investment,$407.00,1
1/7/2024,Winter,Queensland,1901,Social media/Online forums,18 - 24,Female,Investment,Investment,$2403.00,1
1/1/2024,Summer,Western Australia,2094.3,Social media/Online forums,45 - 54,Female,Investment,Investment,$33000.00,1
1/1/2024,Summer,Western Australia,2094.3,Social media/Online forums,65 and over,Female,Investment,Investment,$1000.00,1
1/2/2024,Summer,Western Australia,2094.3,Social media/Online forums,18 - 24,Female,Investment,Investment,$1.00,1
1/2/2024,Summer,Western Australia,2094.3,Social media/Online forums,45 - 54,Female,Investment,Investment,$369.06,1
1/3/2024,Autumn,Western Australia,2094.3,Social media/Online forums,35 - 44,Female,Investment,Investment,$5000.00,1
1/3/2024,Autumn,Western Australia,2094.3,Social media/Online forums,18 - 24,Female,Investment,Investment,$20000.00,1
1/4/2024,Autumn,Western Australia,2094.3,Social media/Online forums,45 - 54,Female,Investment,Investment,$2700.00,1
1/5/2024,Autumn,Western Australia,2094.3,Social media/Online forums,55 - 64,Female,Investment,Investment,$227030.00,3
1/5/2024,Autumn,Western Australia,2094.3,Social media/Online forums,35 - 44,Female,Investment,Investment,$955.00,1
1/6/2024,Winter,Western Australia,2094.3,Social media/Online forums,25 - 34,Female,Investment,Investment,$25060.00,1
1/7/2024,Winter,Western Australia,2094.3,Social media/Online forums,35 - 44,Female,Investment,Investment,$23248.00,2
1/2/2024,Summer,South Australia,1776.9,Social media/Online forums,65 and over,Female,Investment,Investment,$350.00,1
1/3/2024,Autumn,South Australia,1776.9,Social media/Online forums,65 and over,Female,Investment,Investment,$110550.00,2
1/3/2024,Autumn,South Australia,1776.9,Social media/Online forums,55 - 64,Female,Investment,Investment,$1000.00,1
1/4/2024,Autumn,South Australia,1776.9,Social media/Online forums,35 - 44,Female,Investment,Investment,$9100.00,1
1/5/2024,Autumn,South Australia,1776.9,Social media/Online forums,18 - 24,Female,Investment,Investment,$7710.00,2
1/5/2024,Autumn,South Australia,1776.9,Social media/Online forums,55 - 64,Female,Investment,Investment,$8000.00,1
1/1/2024,Summer,Northern Territory,1845.8,Social media/Online forums,45 - 54,Female,Investment,Investment,$2000.00,1
1/1/2024,Summer,Australian Capital Territory,2126.5,Social media/Online forums,35 - 44,Female,Investment,Investment,$4806.33,1
1/2/2024,Summer,Tasmania,1710.8,Social media/Online forums,25 - 34,Female,Investment,Investment,$550.00,1
1/3/2024,Autumn,Tasmania,1710.8,Social media/Online forums,25 - 34,Female,Investment,Investment,$1000.00,1
1/4/2024,Autumn,Northern Territory,1845.8,Social media/Online forums,35 - 44,Female,Investment,Investment,$2800.00,1
1/5/2024,Autumn,Tasmania,1710.8,Social media/Online forums,45 - 54,Female,Investment,Investment,$262179.18,1
1/5/2024,Autumn,Northern Territory,1845.8,Social media/Online forums,45 - 54,Female,Investment,Investment,$377.22,1
1/6/2024,Winter,Tasmania,1710.8,Social media/Online forums,25 - 34,Female,Investment,Investment,$1000.00,1
1/6/2024,Winter,Tasmania,1710.8,Social media/Online forums,55 - 64,Female,Investment,Investment,$380.00,1
1/7/2024,Winter,Australian Capital Territory,2126.5,Social media/Online forums,25 - 34,Female,Investment,Investment,$1800.00,1
1/1/2024,Summer,New South Wales,1935.7,Social media/Online forums,55 - 64,Female,Investment,Investment,$15000.00,1
1/4/2024,Autumn,New South Wales,1935.7,Social media/Online forums,18 - 24,Female,Investment,Investment,$13050.00,2
1/5/2024,Autumn,New South Wales,1935.7,Social media/Online forums,55 - 64,Female,Investment,Investment,$227.65,1
1/7/2024,Winter,New South Wales,1935.7,Social media/Online forums,18 - 24,Female,Investment,Investment,$2568.00,2
1/7/2024,Winter,New South Wales,1935.7,Social media/Online forums,45 - 54,Female,Investment,Investment,$75744.93,2
1/1/2024,Summer,New South Wales,1935.7,Social media/Online forums,35 - 44,Female,Investment,Investment,$6800.00,1
1/3/2024,Autumn,New South Wales,1935.7,Social media/Online forums,35 - 44,Female,Investment,Investment,$42850.00,4
1/5/2024,Autumn,New South Wales,1935.7,Social media/Online forums,35 - 44,Female,Investment,Investment,$495000.00,2
1/7/2024,Winter,New South Wales,1935.7,Social media/Online forums,35 - 44,Female,Investment,Investment,$151000.00,2
1/1/2024,Summer,New South Wales,1935.7,Social media/Online forums,25 - 34,Female,Investment,Investment,$25500.00,2
1/3/2024,Autumn,New South Wales,1935.7,Social media/Online forums,25 - 34,Female,Investment,Investment,$303.00,1
1/7/2024,Winter,New South Wales,1935.7,Social media/Online forums,25 - 34,Female,Investment,Investment,$23400.00,1
1/1/2024,Summer,South Australia,1776.9,Phone call,18 - 24,Male,Investment,Investment,$120.00,1
1/1/2024,Summer,South Australia,1776.9,Phone call,65 and over,Male,Investment,Investment,$429500.00,3
1/3/2024,Autumn,South Australia,1776.9,Phone call,25 - 34,Male,Investment,Investment,$26000.00,1
1/6/2024,Winter,South Australia,1776.9,Phone call,45 - 54,Male,Investment,Investment,$10000.00,1
1/6/2024,Winter,South Australia,1776.9,Phone call,65 and over,Male,Investment,Investment,$400.00,1
1/1/2024,Summer,South Australia,1776.9,Social media/Online forums,25 - 34,Male,Investment,Investment,$7000.00,1
1/1/2024,Summer,South Australia,1776.9,Social media/Online forums,55 - 64,Male,Investment,Investment,$50000.00,1
1/2/2024,Summer,South Australia,1776.9,Social media/Online forums,35 - 44,Male,Investment,Investment,$216700.00,2
1/4/2024,Autumn,South Australia,1776.9,Social media/Online forums,18 - 24,Male,Investment,Investment,$25000.00,1
1/5/2024,Autumn,South Australia,1776.9,Social media/Online forums,65 and over,Male,Investment,Investment,$29000.00,1
1/5/2024,Autumn,South Australia,1776.9,Social media/Online forums,25 - 34,Male,Investment,Investment,$3960.00,1
1/5/2024,Autumn,South Australia,1776.9,Social media/Online forums,18 - 24,Male,Investment,Investment,$600.00,1
1/5/2024,Autumn,South Australia,1776.9,Internet,65 and over,Male,Investment,Investment,$250000.00,1
1/6/2024,Winter,South Australia,1776.9,Internet,35 - 44,Male,Investment,Investment,$11962.44,1
1/7/2024,Winter,South Australia,1776.9,Internet,65 and over,Male,Investment,Investment,$150000.00,1
1/7/2024,Winter,South Australia,1776.9,Internet,45 - 54,Male,Investment,Investment,$296.00,1
1/7/2024,Winter,South Australia,1776.9,Internet,55 - 64,Male,Investment,Investment,$60000.00,1
1/6/2024,Winter,South Australia,1776.9,Mobile apps,25 - 34,Male,Investment,Investment,$53200.00,3
1/6/2024,Winter,South Australia,1776.9,Mobile apps,45 - 54,Male,Investment,Investment,$1700.00,1
1/1/2024,Summer,South Australia,1776.9,Email,55 - 64,Male,Investment,Investment,$131000.00,1
1/2/2024,Summer,South Australia,1776.9,In person,65 and over,Male,Investment,Investment,$450000.00,1
1/4/2024,Autumn,South Australia,1776.9,In person,25 - 34,Male,Investment,Investment,$178955.00,1
1/6/2024,Winter,South Australia,1776.9,Email,65 and over,Male,Investment,Investment,$75000.00,1
1/6/2024,Winter,South Australia,1776.9,In person,55 - 64,Male,Investment,Investment,$75000.00,1
1/7/2024,Winter,South Australia,1776.9,Email,18 - 24,Male,Investment,Investment,$16625.58,1
1/3/2024,Autumn,Australian Capital Territory,2126.5,Phone call,35 - 44,Male,Investment,Investment,$47500.00,1
1/3/2024,Autumn,Australian Capital Territory,2126.5,Email,55 - 64,Male,Investment,Investment,$37087.22,1
1/3/2024,Autumn,Australian Capital Territory,2126.5,Email,65 and over,Male,Investment,Investment,$122205.74,1
1/7/2024,Winter,Australian Capital Territory,2126.5,Phone call,65 and over,Male,Investment,Investment,$385000.00,1
1/7/2024,Winter,Australian Capital Territory,2126.5,Phone call,55 - 64,Male,Investment,Investment,$617.00,1
1/1/2024,Summer,Australian Capital Territory,2126.5,Mobile apps,18 - 24,Male,Investment,Investment,$19750.00,1
1/3/2024,Autumn,Australian Capital Territory,2126.5,Mobile apps,25 - 34,Male,Investment,Investment,$78000.00,1
1/7/2024,Winter,Australian Capital Territory,2126.5,Internet,55 - 64,Male,Investment,Investment,$368.00,1
1/7/2024,Winter,Australian Capital Territory,2126.5,Internet,25 - 34,Male,Investment,Investment,$13432.98,1
1/2/2024,Summer,Australian Capital Territory,2126.5,Social media/Online forums,45 - 54,Male,Investment,Investment,$26000.00,1
1/4/2024,Autumn,Australian Capital Territory,2126.5,Social media/Online forums,35 - 44,Male,Investment,Investment,$377.50,1
1/6/2024,Winter,Australian Capital Territory,2126.5,Social media/Online forums,45 - 54,Male,Investment,Investment,$70000.00,1
1/1/2024,Summer,Tasmania,1710.8,Email,65 and over,Male,Investment,Investment,$296.00,1
1/6/2024,Winter,Tasmania,1710.8,Phone call,25 - 34,Male,Investment,Investment,$45000.00,1
1/7/2024,Winter,Tasmania,1710.8,Social media/Online forums,65 and over,Male,Investment,Investment,$54600.00,1
1/1/2024,Summer,Northern Territory,1845.8,Social media/Online forums,55 - 64,Male,Investment,Investment,$1547.00,1
1/1/2024,Summer,Northern Territory,1845.8,Email,45 - 54,Male,Investment,Investment,$15000.00,1
1/3/2024,Autumn,Northern Territory,1845.8,Internet,35 - 44,Male,Investment,Investment,$6000.00,1
1/3/2024,Autumn,Northern Territory,1845.8,Social media/Online forums,55 - 64,Male,Investment,Investment,$297.00,1
1/3/2024,Autumn,Northern Territory,1845.8,Phone call,35 - 44,Male,Investment,Investment,$40000.00,1
1/4/2024,Autumn,Northern Territory,1845.8,Phone call,65 and over,Male,Investment,Investment,$6250.63,1
1/7/2024,Winter,Northern Territory,1845.8,Phone call,45 - 54,Male,Investment,Investment,$800.00,1
1/7/2024,Winter,Northern Territory,1845.8,Phone call,35 - 44,Male,Investment,Investment,$1300.00,1
1/2/2024,Summer,Western Australia,2094.3,In person,45 - 54,Male,Investment,Investment,$46493.63,2
1/2/2024,Summer,Western Australia,2094.3,In person,35 - 44,Male,Investment,Investment,$37934.37,2
1/4/2024,Autumn,Western Australia,2094.3,In person,25 - 34,Male,Investment,Investment,$75000.00,1
1/7/2024,Winter,Western Australia,2094.3,In person,65 and over,Male,Investment,Investment,$569889.30,1
1/1/2024,Summer,Western Australia,2094.3,Email,35 - 44,Male,Investment,Investment,$9950.00,1
1/2/2024,Summer,Western Australia,2094.3,Email,65 and over,Male,Investment,Investment,$375.00,4
1/3/2024,Autumn,Western Australia,2094.3,Email,55 - 64,Male,Investment,Investment,$80000.00,1
1/4/2024,Autumn,Western Australia,2094.3,Email,65 and over,Male,Investment,Investment,$2557.20,4
1/5/2024,Autumn,Western Australia,2094.3,Email,65 and over,Male,Investment,Investment,$20000.00,1
1/6/2024,Winter,Western Australia,2094.3,Email,65 and over,Male,Investment,Investment,$122586.89,6
1/1/2024,Summer,Western Australia,2094.3,Mobile apps,25 - 34,Male,Investment,Investment,$2500.00,1
1/2/2024,Summer,Western Australia,2094.3,Mobile apps,55 - 64,Male,Investment,Investment,$350.00,1
1/3/2024,Autumn,Western Australia,2094.3,Mobile apps,55 - 64,Male,Investment,Investment,$110.00,1
1/3/2024,Autumn,Western Australia,2094.3,Mobile apps,25 - 34,Male,Investment,Investment,$10000.00,1
1/7/2024,Winter,Western Australia,2094.3,Mobile apps,45 - 54,Male,Investment,Investment,$500.00,1
1/1/2024,Summer,Western Australia,2094.3,Internet,18 - 24,Male,Investment,Investment,$400.00,1
1/1/2024,Summer,Western Australia,2094.3,Internet,55 - 64,Male,Investment,Investment,$30000.00,1
1/3/2024,Autumn,Western Australia,2094.3,Internet,65 and over,Male,Investment,Investment,$10500.00,1
1/3/2024,Autumn,Western Australia,2094.3,Internet,18 - 24,Male,Investment,Investment,$407.79,1
1/3/2024,Autumn,Western Australia,2094.3,Internet,55 - 64,Male,Investment,Investment,$40000.00,1
1/4/2024,Autumn,Western Australia,2094.3,Internet,45 - 54,Male,Investment,Investment,$500.00,1
1/6/2024,Winter,Western Australia,2094.3,Internet,65 and over,Male,Investment,Investment,$3000.00,1
1/6/2024,Winter,Western Australia,2094.3,Internet,55 - 64,Male,Investment,Investment,$39000.00,2
1/1/2024,Summer,Western Australia,2094.3,Social media/Online forums,65 and over,Male,Investment,Investment,$20000.00,1
1/1/2024,Summer,Western Australia,2094.3,Social media/Online forums,35 - 44,Male,Investment,Investment,$1579.00,2
